period,productId,productName,activityId,activityName,countryRegionId,countryRegionName,countryRegionTypeId,countryRegionTypeName,dataFlagId,dataFlagDescription,unitName,value,unit
1952,5,Petroleum and other liquids,8,Emissions,OECD,OECD,r,Region,,,million metric tonnes carbon dioxide,1024.84276,MMTCD
1958,4006,Petroleum and other liquids,8,Emissions,OPNO,Non-OPEC,r,Region,,,million metric tonnes carbon dioxide,1256.210693,MMTCD
1957,4002,Coal and coke,8,Emissions,OENA,OECD - North America,r,Region,,,million metric tonnes carbon dioxide,1003.746034,MMTCD
1958,4006,Petroleum and other liquids,8,Emissions,WP27,United States,r,Region,,,million metric tonnes carbon dioxide,1256.210693,MMTCD
1958,4010,Consumed natural gas,8,Emissions,USA,United States,c,Country,,,million metric tonnes carbon dioxide,559.789329,MMTCD
1960,5,Petroleum and other liquids,8,Emissions,NOAM,North America,r,Region,,,million metric tonnes carbon dioxide,1348.642779,MMTCD
1956,1,Coal and coke,8,Emissions,OENA,OECD - North America,r,Region,,,million metric tonnes carbon dioxide,1054.597765,MMTCD
1959,4010,Consumed natural gas,8,Emissions,OENA,OECD - North America,r,Region,,,million metric tonnes carbon dioxide,615.214424,MMTCD
1960,5,Petroleum and other liquids,8,Emissions,OECD,OECD,r,Region,,,million metric tonnes carbon dioxide,1348.642779,MMTCD
1958,1,Coal and coke,8,Emissions,WP27,United States,r,Region,,,million metric tonnes carbon dioxide,887.188523,MMTCD
1960,3002,Natural gas,8,Emissions,USA,United States,c,Country,,,million metric tonnes carbon dioxide,650.165364,MMTCD
1958,4006,Petroleum and other liquids,8,Emissions,WORL,World,r,Region,,,million metric tonnes carbon dioxide,1256.210693,MMTCD
1958,4008,CO2 emissions,8,Emissions,USA,United States,c,Country,,,million metric tonnes carbon dioxide,2703.188545,MMTCD
1956,4006,Petroleum and other liquids,8,Emissions,OENA,OECD - North America,r,Region,,,million metric tonnes carbon dioxide,1218.049517,MMTCD
1958,1,Coal and coke,8,Emissions,WORL,World,r,Region,,,million metric tonnes carbon dioxide,887.188523,MMTCD
1955,4002,Coal and coke,8,Emissions,OENA,OECD - North America,r,Region,,,million metric tonnes carbon dioxide,1037.883229,MMTCD
1954,4002,Coal and coke,8,Emissions,NOAM,North America,r,Region,,,million metric tonnes carbon dioxide,904.191799,MMTCD
1957,4010,Consumed natural gas,8,Emissions,NOAM,North America,r,Region,,,million metric tonnes carbon dioxide,534.718185,MMTCD
1959,4008,CO2 emissions,8,Emissions,OENA,OECD - North America,r,Region,,,million metric tonnes carbon dioxide,2807.171174,MMTCD
1954,4006,Petroleum and other liquids,8,Emissions,USA,United States,c,Country,,,million metric tonnes carbon dioxide,1080.801692,MMTCD
1954,1,Coal and coke,8,Emissions,USA,United States,c,Country,,,million metric tonnes carbon dioxide,904.191799,MMTCD
1957,4008,CO2 emissions,8,Emissions,NOAM,North America,r,Region,,,million metric tonnes carbon dioxide,2756.562392,MMTCD
1959,4006,Petroleum and other liquids,8,Emissions,NOAM,North America,r,Region,,,million metric tonnes carbon dioxide,1306.825723,MMTCD
1955,4010,Consumed natural gas,8,Emissions,NOAM,North America,r,Region,,,million metric tonnes carbon dioxide,472.164274,MMTCD
1954,5,Petroleum and other liquids,8,Emissions,OPNO,Non-OPEC,r,Region,,,million metric tonnes carbon dioxide,1080.801692,MMTCD
1953,4010,Consumed natural gas,8,Emissions,OPNO,Non-OPEC,r,Region,,,million metric tonnes carbon dioxide,414.852766,MMTCD
1952,4010,Consumed natural gas,8,Emissions,OPNO,Non-OPEC,r,Region,,,million metric tonnes carbon dioxide,396.144693,MMTCD
1957,4010,Consumed natural gas,8,Emissions,OECD,OECD,r,Region,,,million metric tonnes carbon dioxide,534.718185,MMTCD
1957,5,Petroleum and other liquids,8,Emissions,USA,United States,c,Country,,,million metric tonnes carbon dioxide,1218.098173,MMTCD
1959,1,Coal and coke,8,Emissions,NOAM,North America,r,Region,,,million metric tonnes carbon dioxide,885.131027,MMTCD
1954,4002,Coal and coke,8,Emissions,OECD,OECD,r,Region,,,million metric tonnes carbon dioxide,904.191799,MMTCD
1952,4002,Coal and coke,8,Emissions,USA,United States,c,Country,,,million metric tonnes carbon dioxide,1052.386511,MMTCD
1953,4002,Coal and coke,8,Emissions,USA,United States,c,Country,,,million metric tonnes carbon dioxide,1057.069608,MMTCD
1958,4002,Coal and coke,8,Emissions,OENA,OECD - North America,r,Region,,,million metric tonnes carbon dioxide,887.188523,MMTCD
1959,3002,Natural gas,8,Emissions,OPNO,Non-OPEC,r,Region,,,million metric tonnes carbon dioxide,615.214424,MMTCD
1954,5,Petroleum and other liquids,8,Emissions,WP27,United States,r,Region,,,million metric tonnes carbon dioxide,1080.801692,MMTCD
1956,5,Petroleum and other liquids,8,Emissions,NOAM,North America,r,Region,,,million metric tonnes carbon dioxide,1218.049517,MMTCD
1955,4008,CO2 emissions,8,Emissions,NOAM,North America,r,Region,,,million metric tonnes carbon dioxide,2684.786146,MMTCD
1953,4010,Consumed natural gas,8,Emissions,WP27,United States,r,Region,,,million metric tonnes carbon dioxide,414.852766,MMTCD
1952,4010,Consumed natural gas,8,Emissions,WP27,United States,r,Region,,,million metric tonnes carbon dioxide,396.144693,MMTCD
1956,3002,Natural gas,8,Emissions,USA,United States,c,Country,,,million metric tonnes carbon dioxide,504.395476,MMTCD
1955,4010,Consumed natural gas,8,Emissions,OECD,OECD,r,Region,,,million metric tonnes carbon dioxide,472.164274,MMTCD
1952,3002,Natural gas,8,Emissions,NOAM,North America,r,Region,,,million metric tonnes carbon dioxide,396.144693,MMTCD
1953,3002,Natural gas,8,Emissions,NOAM,North America,r,Region,,,million metric tonnes carbon dioxide,414.852766,MMTCD
1959,3002,Natural gas,8,Emissions,WP27,United States,r,Region,,,million metric tonnes carbon dioxide,615.214424,MMTCD
1954,5,Petroleum and other liquids,8,Emissions,WORL,World,r,Region,,,million metric tonnes carbon dioxide,1080.801692,MMTCD
1955,5,Petroleum and other liquids,8,Emissions,USA,United States,c,Country,,,million metric tonnes carbon dioxide,1174.738643,MMTCD
1953,4008,CO2 emissions,8,Emissions,OPNO,Non-OPEC,r,Region,,,million metric tonnes carbon dioxide,2536.892888,MMTCD
1952,4008,CO2 emissions,8,Emissions,OPNO,Non-OPEC,r,Region,,,million metric tonnes carbon dioxide,2473.373964,MMTCD
1957,4008,CO2 emissions,8,Emissions,OECD,OECD,r,Region,,,million metric tonnes carbon dioxide,2756.562392,MMTCD
1959,4006,Petroleum and other liquids,8,Emissions,OECD,OECD,r,Region,,,million metric tonnes carbon dioxide,1306.825723,MMTCD
1959,1,Coal and coke,8,Emissions,OECD,OECD,r,Region,,,million metric tonnes carbon dioxide,885.131027,MMTCD
1953,4010,Consumed natural gas,8,Emissions,WORL,World,r,Region,,,million metric tonnes carbon dioxide,414.852766,MMTCD
1952,4010,Consumed natural gas,8,Emissions,WORL,World,r,Region,,,million metric tonnes carbon dioxide,396.144693,MMTCD
1956,5,Petroleum and other liquids,8,Emissions,OECD,OECD,r,Region,,,million metric tonnes carbon dioxide,1218.049517,MMTCD
1953,4008,CO2 emissions,8,Emissions,WP27,United States,r,Region,,,million metric tonnes carbon dioxide,2536.892888,MMTCD
1952,4008,CO2 emissions,8,Emissions,WP27,United States,r,Region,,,million metric tonnes carbon dioxide,2473.373964,MMTCD
1960,4010,Consumed natural gas,8,Emissions,OPNO,Non-OPEC,r,Region,,,million metric tonnes carbon dioxide,650.165364,MMTCD
1959,3002,Natural gas,8,Emissions,WORL,World,r,Region,,,million metric tonnes carbon dioxide,615.214424,MMTCD
1960,4002,Coal and coke,8,Emissions,USA,United States,c,Country,,,million metric tonnes carbon dioxide,915.20039,MMTCD
1955,4008,CO2 emissions,8,Emissions,OECD,OECD,r,Region,,,million metric tonnes carbon dioxide,2684.786146,MMTCD
1953,4008,CO2 emissions,8,Emissions,WORL,World,r,Region,,,million metric tonnes carbon dioxide,2536.892888,MMTCD
1952,4008,CO2 emissions,8,Emissions,WORL,World,r,Region,,,million metric tonnes carbon dioxide,2473.373964,MMTCD
1960,4010,Consumed natural gas,8,Emissions,WP27,United States,r,Region,,,million metric tonnes carbon dioxide,650.165364,MMTCD
1958,4010,Consumed natural gas,8,Emissions,NOAM,North America,r,Region,,,million metric tonnes carbon dioxide,559.789329,MMTCD
1952,3002,Natural gas,8,Emissions,OECD,OECD,r,Region,,,million metric tonnes carbon dioxide,396.144693,MMTCD
1953,3002,Natural gas,8,Emissions,OECD,OECD,r,Region,,,million metric tonnes carbon dioxide,414.852766,MMTCD
1960,4008,CO2 emissions,8,Emissions,OPNO,Non-OPEC,r,Region,,,million metric tonnes carbon dioxide,2914.008533,MMTCD
1960,3002,Natural gas,8,Emissions,NOAM,North America,r,Region,,,million metric tonnes carbon dioxide,650.165364,MMTCD
1957,4006,Petroleum and other liquids,8,Emissions,OENA,OECD - North America,r,Region,,,million metric tonnes carbon dioxide,1218.098173,MMTCD
1960,4010,Consumed natural gas,8,Emissions,WORL,World,r,Region,,,million metric tonnes carbon dioxide,650.165364,MMTCD
1957,1,Coal and coke,8,Emissions,OENA,OECD - North America,r,Region,,,million metric tonnes carbon dioxide,1003.746034,MMTCD
1960,4008,CO2 emissions,8,Emissions,WP27,United States,r,Region,,,million metric tonnes carbon dioxide,2914.008533,MMTCD
1958,4008,CO2 emissions,8,Emissions,NOAM,North America,r,Region,,,million metric tonnes carbon dioxide,2703.188545,MMTCD
1954,4010,Consumed natural gas,8,Emissions,OENA,OECD - North America,r,Region,,,million metric tonnes carbon dioxide,437.259069,MMTCD
1958,4010,Consumed natural gas,8,Emissions,OECD,OECD,r,Region,,,million metric tonnes carbon dioxide,559.789329,MMTCD
1958,5,Petroleum and other liquids,8,Emissions,USA,United States,c,Country,,,million metric tonnes carbon dioxide,1256.210693,MMTCD
1960,4008,CO2 emissions,8,Emissions,WORL,World,r,Region,,,million metric tonnes carbon dioxide,2914.008533,MMTCD
1955,4006,Petroleum and other liquids,8,Emissions,OENA,OECD - North America,r,Region,,,million metric tonnes carbon dioxide,1174.738643,MMTCD
1960,3002,Natural gas,8,Emissions,OECD,OECD,r,Region,,,million metric tonnes carbon dioxide,650.165364,MMTCD
1955,1,Coal and coke,8,Emissions,OENA,OECD - North America,r,Region,,,million metric tonnes carbon dioxide,1037.883229,MMTCD
1954,4008,CO2 emissions,8,Emissions,OENA,OECD - North America,r,Region,,,million metric tonnes carbon dioxide,2422.25256,MMTCD
1958,4008,CO2 emissions,8,Emissions,OECD,OECD,r,Region,,,million metric tonnes carbon dioxide,2703.188545,MMTCD
1954,4006,Petroleum and other liquids,8,Emissions,NOAM,North America,r,Region,,,million metric tonnes carbon dioxide,1080.801692,MMTCD
1959,5,Petroleum and other liquids,8,Emissions,OENA,OECD - North America,r,Region,,,million metric tonnes carbon dioxide,1306.825723,MMTCD
1954,1,Coal and coke,8,Emissions,NOAM,North America,r,Region,,,million metric tonnes carbon dioxide,904.191799,MMTCD
1959,4002,Coal and coke,8,Emissions,OPNO,Non-OPEC,r,Region,,,million metric tonnes carbon dioxide,885.131027,MMTCD
1956,4010,Consumed natural gas,8,Emissions,OPNO,Non-OPEC,r,Region,,,million metric tonnes carbon dioxide,504.395476,MMTCD
1952,4002,Coal and coke,8,Emissions,NOAM,North America,r,Region,,,million metric tonnes carbon dioxide,1052.386511,MMTCD
1953,4002,Coal and coke,8,Emissions,NOAM,North America,r,Region,,,million metric tonnes carbon dioxide,1057.069608,MMTCD
1959,4002,Coal and coke,8,Emissions,WP27,United States,r,Region,,,million metric tonnes carbon dioxide,885.131027,MMTCD
1956,4010,Consumed natural gas,8,Emissions,WP27,United States,r,Region,,,million metric tonnes carbon dioxide,504.395476,MMTCD
1957,3002,Natural gas,8,Emissions,USA,United States,c,Country,,,million metric tonnes carbon dioxide,534.718185,MMTCD
1956,4002,Coal and coke,8,Emissions,USA,United States,c,Country,,,million metric tonnes carbon dioxide,1054.597765,MMTCD
1954,3002,Natural gas,8,Emissions,OPNO,Non-OPEC,r,Region,,,million metric tonnes carbon dioxide,437.259069,MMTCD
1957,5,Petroleum and other liquids,8,Emissions,NOAM,North America,r,Region,,,million metric tonnes carbon dioxide,1218.098173,MMTCD
1956,4008,CO2 emissions,8,Emissions,OPNO,Non-OPEC,r,Region,,,million metric tonnes carbon dioxide,2777.042758,MMTCD
1954,4006,Petroleum and other liquids,8,Emissions,OECD,OECD,r,Region,,,million metric tonnes carbon dioxide,1080.801692,MMTCD
1956,3002,Natural gas,8,Emissions,NOAM,North America,r,Region,,,million metric tonnes carbon dioxide,504.395476,MMTCD
1954,3002,Natural gas,8,Emissions,WP27,United States,r,Region,,,million metric tonnes carbon dioxide,437.259069,MMTCD
1954,1,Coal and coke,8,Emissions,OECD,OECD,r,Region,,,million metric tonnes carbon dioxide,904.191799,MMTCD
1959,4002,Coal and coke,8,Emissions,WORL,World,r,Region,,,million metric tonnes carbon dioxide,885.131027,MMTCD
1958,4006,Petroleum and other liquids,8,Emissions,OENA,OECD - North America,r,Region,,,million metric tonnes carbon dioxide,1256.210693,MMTCD
1952,4006,Petroleum and other liquids,8,Emissions,USA,United States,c,Country,,,million metric tonnes carbon dioxide,1024.84276,MMTCD
1953,4006,Petroleum and other liquids,8,Emissions,USA,United States,c,Country,,,million metric tonnes carbon dioxide,1064.970514,MMTCD
1956,4010,Consumed natural gas,8,Emissions,WORL,World,r,Region,,,million metric tonnes carbon dioxide,504.395476,MMTCD
1955,5,Petroleum and other liquids,8,Emissions,NOAM,North America,r,Region,,,million metric tonnes carbon dioxide,1174.738643,MMTCD
1952,1,Coal and coke,8,Emissions,USA,United States,c,Country,,,million metric tonnes carbon dioxide,1052.386511,MMTCD
1953,1,Coal and coke,8,Emissions,USA,United States,c,Country,,,million metric tonnes carbon dioxide,1057.069608,MMTCD
1958,1,Coal and coke,8,Emissions,OENA,OECD - North America,r,Region,,,million metric tonnes carbon dioxide,887.188523,MMTCD
1956,4008,CO2 emissions,8,Emissions,WP27,United States,r,Region,,,million metric tonnes carbon dioxide,2777.042758,MMTCD
1955,3002,Natural gas,8,Emissions,USA,United States,c,Country,,,million metric tonnes carbon dioxide,472.164274,MMTCD
1954,3002,Natural gas,8,Emissions,WORL,World,r,Region,,,million metric tonnes carbon dioxide,437.259069,MMTCD
1952,5,Petroleum and other liquids,8,Emissions,OPNO,Non-OPEC,r,Region,,,million metric tonnes carbon dioxide,1024.84276,MMTCD
1953,5,Petroleum and other liquids,8,Emissions,OPNO,Non-OPEC,r,Region,,,million metric tonnes carbon dioxide,1064.970514,MMTCD
1957,5,Petroleum and other liquids,8,Emissions,OECD,OECD,r,Region,,,million metric tonnes carbon dioxide,1218.098173,MMTCD
1952,4002,Coal and coke,8,Emissions,OECD,OECD,r,Region,,,million metric tonnes carbon dioxide,1052.386511,MMTCD
1953,4002,Coal and coke,8,Emissions,OECD,OECD,r,Region,,,million metric tonnes carbon dioxide,1057.069608,MMTCD
1960,4002,Coal and coke,8,Emissions,NOAM,North America,r,Region,,,million metric tonnes carbon dioxide,915.20039,MMTCD
1956,4008,CO2 emissions,8,Emissions,WORL,World,r,Region,,,million metric tonnes carbon dioxide,2777.042758,MMTCD
1956,3002,Natural gas,8,Emissions,OECD,OECD,r,Region,,,million metric tonnes carbon dioxide,504.395476,MMTCD
1952,5,Petroleum and other liquids,8,Emissions,WP27,United States,r,Region,,,million metric tonnes carbon dioxide,1024.84276,MMTCD
1953,5,Petroleum and other liquids,8,Emissions,WP27,United States,r,Region,,,million metric tonnes carbon dioxide,1064.970514,MMTCD
1955,5,Petroleum and other liquids,8,Emissions,OECD,OECD,r,Region,,,million metric tonnes carbon dioxide,1174.738643,MMTCD
1960,4006,Petroleum and other liquids,8,Emissions,USA,United States,c,Country,,,million metric tonnes carbon dioxide,1348.642779,MMTCD
1953,5,Petroleum and other liquids,8,Emissions,WORL,World,r,Region,,,million metric tonnes carbon dioxide,1064.970514,MMTCD
1952,5,Petroleum and other liquids,8,Emissions,WORL,World,r,Region,,,million metric tonnes carbon dioxide,1024.84276,MMTCD
1960,1,Coal and coke,8,Emissions,USA,United States,c,Country,,,million metric tonnes carbon dioxide,915.20039,MMTCD
1960,5,Petroleum and other liquids,8,Emissions,OPNO,Non-OPEC,r,Region,,,million metric tonnes carbon dioxide,1348.642779,MMTCD
1960,4002,Coal and coke,8,Emissions,OECD,OECD,r,Region,,,million metric tonnes carbon dioxide,915.20039,MMTCD
1958,5,Petroleum and other liquids,8,Emissions,NOAM,North America,r,Region,,,million metric tonnes carbon dioxide,1256.210693,MMTCD
1960,5,Petroleum and other liquids,8,Emissions,WP27,United States,r,Region,,,million metric tonnes carbon dioxide,1348.642779,MMTCD
1958,3002,Natural gas,8,Emissions,USA,United States,c,Country,,,million metric tonnes carbon dioxide,559.789329,MMTCD
1957,4002,Coal and coke,8,Emissions,USA,United States,c,Country,,,million metric tonnes carbon dioxide,1003.746034,MMTCD
1959,3002,Natural gas,8,Emissions,OENA,OECD - North America,r,Region,,,million metric tonnes carbon dioxide,615.214424,MMTCD
1960,5,Petroleum and other liquids,8,Emissions,WORL,World,r,Region,,,million metric tonnes carbon dioxide,1348.642779,MMTCD
1954,5,Petroleum and other liquids,8,Emissions,OENA,OECD - North America,r,Region,,,million metric tonnes carbon dioxide,1080.801692,MMTCD
1954,4002,Coal and coke,8,Emissions,OPNO,Non-OPEC,r,Region,,,million metric tonnes carbon dioxide,904.191799,MMTCD
1953,4010,Consumed natural gas,8,Emissions,OENA,OECD - North America,r,Region,,,million metric tonnes carbon dioxide,414.852766,MMTCD
1952,4010,Consumed natural gas,8,Emissions,OENA,OECD - North America,r,Region,,,million metric tonnes carbon dioxide,396.144693,MMTCD
1957,4010,Consumed natural gas,8,Emissions,OPNO,Non-OPEC,r,Region,,,million metric tonnes carbon dioxide,534.718185,MMTCD
1958,5,Petroleum and other liquids,8,Emissions,OECD,OECD,r,Region,,,million metric tonnes carbon dioxide,1256.210693,MMTCD
1954,4002,Coal and coke,8,Emissions,WP27,United States,r,Region,,,million metric tonnes carbon dioxide,904.191799,MMTCD
1956,4002,Coal and coke,8,Emissions,NOAM,North America,r,Region,,,million metric tonnes carbon dioxide,1054.597765,MMTCD
1957,4010,Consumed natural gas,8,Emissions,WP27,United States,r,Region,,,million metric tonnes carbon dioxide,534.718185,MMTCD
1959,1,Coal and coke,8,Emissions,OPNO,Non-OPEC,r,Region,,,million metric tonnes carbon dioxide,885.131027,MMTCD
1955,4002,Coal and coke,8,Emissions,USA,United States,c,Country,,,million metric tonnes carbon dioxide,1037.883229,MMTCD
1954,4002,Coal and coke,8,Emissions,WORL,World,r,Region,,,million metric tonnes carbon dioxide,904.191799,MMTCD
